Received,1,20207
Received,2,29
Received,4,2
Sent,1,20121
Sent,2,10
Received,8,57
Received,16,1
Received,32,9
Sent,4,7
Sent,8,9
Sent,16,3
Received,64,1
Received,128,13
Received,256,1
Sent,32,4
Sent,64,10
Sent,128,10
Sent,256,13
Sent,512,10
Received,512,76
Received,1024,1
Sent,1024,38
Sent,2048,7
Sent,4096,26
Sent,8192,22
Received,2048,156
Received,4096,1
Sent,16384,46
Received,8192,15
Sent,32768,33
Received,16384,205
Received,32768,184
Sent,65536,660
Received,65536,723
Sent,131072,742
Received,131072,1278
Sent,262144,1319
Received,262144,2393
Sent,524288,3389
Received,524288,4618
Sent,1048576,8116
Received,1048576,9078
Sent,2097152,13953
Received,2097152,17987
