Received,1,20214
Received,2,26
Received,4,2
Sent,1,19957
Sent,2,10
Received,8,56
Received,16,1
Received,32,0
Received,64,0
Sent,4,6
Sent,8,9
Sent,16,3
Received,128,28
Received,256,5
Sent,32,5
Sent,64,10
Sent,128,10
Sent,256,10
Received,512,62
Received,1024,1
Sent,512,10
Sent,1024,8
Received,2048,133
Received,4096,2
Sent,2048,23
Sent,4096,12
Sent,8192,12
Received,8192,84
Sent,16384,58
Sent,32768,31
Received,16384,226
Received,32768,170
Sent,65536,664
Received,65536,738
Sent,131072,759
Received,131072,1277
Sent,262144,1334
Received,262144,2386
Sent,524288,3344
Received,524288,4622
Sent,1048576,7300
Received,1048576,9074
Sent,2097152,13208
Received,2097152,18000
