Received,1,20213
Received,2,21
Received,4,2
Sent,1,19979
Sent,2,9
Sent,4,7
Sent,8,9
Received,8,81
Received,16,1
Received,32,1
Received,64,0
Received,128,1
Sent,16,3
Sent,32,17
Sent,64,10
Received,256,9
Sent,128,12
Sent,256,10
Sent,512,10
Sent,1024,3
Sent,2048,27
Sent,4096,11
Sent,8192,12
Received,512,202
Received,1024,2
Received,2048,0
Received,4096,1
Sent,16384,30
Received,8192,2
Sent,32768,36
Received,16384,159
Received,32768,220
Sent,65536,652
Received,65536,722
Sent,131072,740
Received,131072,1277
Sent,262144,1331
Received,262144,2392
Sent,524288,3404
Received,524288,4621
Sent,1048576,7313
Received,1048576,9079
Sent,2097152,13060
Received,2097152,17994
