Received,1,20210
Received,2,33
Received,4,2
Sent,1,20012
Sent,2,9
Received,8,51
Received,16,1
Sent,4,7
Sent,8,10
Sent,16,12
Received,32,56
Received,64,0
Received,128,1
Sent,32,8
Sent,64,3
Sent,128,11
Sent,256,7
Sent,512,3
Received,256,81
Received,512,1
Received,1024,1
Received,2048,1
Sent,1024,27
Sent,2048,11
Sent,4096,11
Received,4096,145
Received,8192,2
Sent,8192,12
Sent,16384,30
Sent,32768,24
Received,16384,207
Received,32768,168
Sent,65536,631
Received,65536,745
Sent,131072,760
Received,131072,1265
Sent,262144,1331
Received,262144,2398
Sent,524288,3239
Received,524288,4630
Sent,1048576,8035
Received,1048576,9079
Sent,2097152,17961
Received,2097152,18003
