Received,1,20211
Received,2,24
Received,4,3
Sent,1,19992
Sent,2,10
Received,8,58
Received,16,1
Sent,4,6
Sent,8,10
Sent,16,2
Received,32,56
Received,64,0
Received,128,2
Received,256,1
Sent,32,5
Sent,64,22
Sent,128,9
Sent,256,12
Sent,512,9
Received,512,87
Received,1024,1
Received,2048,1
Sent,1024,40
Sent,2048,10
Sent,4096,13
Received,4096,137
Received,8192,2
Sent,8192,15
Sent,16384,29
Sent,32768,26
Received,16384,192
Received,32768,193
Sent,65536,608
Received,65536,729
Sent,131072,756
Received,131072,1277
Sent,262144,1338
Received,262144,2396
Sent,524288,3194
Received,524288,4629
Sent,1048576,7312
Received,1048576,9085
Sent,2097152,13212
Received,2097152,17999
