Received,1,20218
Received,2,20
Received,4,2
Sent,1,19950
Sent,2,10
Sent,4,7
Sent,8,10
Sent,16,3
Received,8,96
Received,16,9
Received,32,1
Received,64,1
Received,128,1
Sent,32,2
Sent,64,33
Sent,128,13
Received,256,52
Received,512,1
Received,1024,1
Received,2048,25
Sent,256,9
Sent,512,11
Sent,1024,19
Sent,2048,23
Sent,4096,25
Sent,8192,20
Received,4096,161
Received,8192,2
Sent,16384,35
Sent,32768,37
Received,16384,180
Received,32768,237
Sent,65536,672
Received,65536,738
Sent,131072,756
Received,131072,1285
Sent,262144,1348
Received,262144,2405
Sent,524288,3339
Received,524288,4630
Sent,1048576,8223
Received,1048576,9086
Sent,2097152,14113
Received,2097152,17994
