Received,1,20210
Received,2,29
Received,4,2
Sent,1,19979
Sent,2,10
Received,8,39
Received,16,1
Sent,4,7
Sent,8,9
Sent,16,3
Sent,32,6
Received,32,108
Received,64,1
Received,128,1
Received,256,0
Received,512,1
Sent,64,19
Sent,128,9
Sent,256,9
Sent,512,9
Sent,1024,8
Received,1024,85
Received,2048,1
Sent,2048,14
Sent,4096,11
Sent,8192,12
Received,4096,158
Received,8192,2
Sent,16384,32
Sent,32768,57
Received,16384,168
Received,32768,216
Sent,65536,636
Received,65536,728
Sent,131072,746
Received,131072,1270
Sent,262144,1615
Received,262144,2386
Sent,524288,3104
Received,524288,4615
Sent,1048576,8116
Received,1048576,9086
Sent,2097152,14568
Received,2097152,18013
