Received,1,20213
Received,2,25
Received,4,2
Sent,1,19914
Sent,2,10
Received,8,60
Received,16,1
Received,32,1
Received,64,1
Sent,4,7
Sent,8,9
Sent,16,3
Sent,32,5
Received,128,69
Received,256,3
Sent,64,22
Sent,128,9
Sent,256,13
Received,512,14
Received,1024,1
Received,2048,100
Received,4096,2
Sent,512,10
Sent,1024,8
Sent,2048,7
Sent,4096,14
Sent,8192,51
Received,8192,127
Sent,16384,28
Sent,32768,32
Received,16384,79
Received,32768,256
Sent,65536,620
Received,65536,725
Sent,131072,734
Received,131072,1267
Sent,262144,1329
Received,262144,2398
Sent,524288,2529
Received,524288,4624
Sent,1048576,8223
Received,1048576,9064
Sent,2097152,13162
Received,2097152,17994
