Received,1,20218
Received,2,30
Received,4,7
Sent,1,20001
Sent,2,11
Received,8,40
Received,16,1
Received,32,10
Sent,4,11
Sent,8,9
Sent,16,3
Received,64,1
Received,128,14
Received,256,1
Sent,32,7
Sent,64,11
Sent,128,11
Received,512,62
Received,1024,1
Received,2048,34
Sent,256,10
Sent,512,9
Sent,1024,8
Received,4096,50
Sent,2048,24
Sent,4096,12
Sent,8192,13
Received,8192,144
Sent,16384,69
Sent,32768,43
Received,16384,105
Received,32768,263
Sent,65536,622
Received,65536,744
Sent,131072,759
Received,131072,1282
Sent,262144,1340
Received,262144,2389
Sent,524288,3246
Received,524288,4620
Sent,1048576,7269
Received,1048576,9078
Sent,2097152,13166
Received,2097152,17989
