Received,1,20207
Received,2,28
Received,4,2
Sent,1,19927
Sent,2,10
Received,8,64
Received,16,1
Received,32,1
Received,64,1
Sent,4,7
Sent,8,9
Sent,16,5
Sent,32,2
Received,128,1
Sent,64,5
Sent,128,7
Received,256,39
Received,512,1
Received,1024,1
Sent,256,9
Sent,512,12
Sent,1024,10
Received,2048,54
Sent,2048,10
Sent,4096,11
Sent,8192,32
Received,4096,152
Received,8192,3
Sent,16384,26
Sent,32768,58
Received,16384,192
Received,32768,221
Sent,65536,650
Received,65536,724
Sent,131072,747
Received,131072,1270
Sent,262144,1321
Received,262144,2389
Sent,524288,3171
Received,524288,4613
Sent,1048576,6945
Received,1048576,9073
Sent,2097152,16217
Received,2097152,18003
