Received,1,20213
Received,2,31
Received,4,2
Sent,1,19965
Sent,2,11
Received,8,41
Received,16,1
Sent,4,7
Sent,8,10
Received,32,44
Received,64,1
Sent,16,3
Sent,32,8
Received,128,28
Received,256,1
Sent,64,24
Sent,128,10
Received,512,10
Received,1024,22
Sent,256,9
Sent,512,9
Received,2048,38
Sent,1024,29
Sent,2048,12
Sent,4096,39
Sent,8192,23
Received,4096,217
Received,8192,2
Sent,16384,45
Sent,32768,27
Received,16384,105
Received,32768,239
Sent,65536,632
Received,65536,750
Sent,131072,1006
Received,131072,1262
Sent,262144,1069
Received,262144,2393
Sent,524288,4442
Received,524288,4619
Sent,1048576,6877
Received,1048576,9076
Sent,2097152,13937
Received,2097152,17999
