Received,1,20216
Received,2,31
Received,4,7
Sent,1,20000
Sent,2,11
Received,8,32
Received,16,1
Received,32,9
Sent,4,12
Sent,8,4
Received,64,1
Received,128,14
Received,256,1
Sent,16,3
Sent,32,4
Sent,64,10
Sent,128,8
Received,512,16
Received,1024,1
Sent,256,10
Sent,512,8
Received,2048,130
Received,4096,1
Sent,1024,12
Sent,2048,10
Sent,4096,34
Received,8192,120
Sent,8192,35
Sent,16384,36
Sent,32768,31
Received,16384,103
Received,32768,294
Sent,65536,683
Received,65536,739
Sent,131072,752
Received,131072,1276
Sent,262144,1335
Received,262144,2381
Sent,524288,2533
Received,524288,4616
Sent,1048576,4816
Received,1048576,9079
Sent,2097152,9620
Received,2097152,17992
