Received,1,20209
Received,2,30
Received,4,6
Sent,1,20038
Sent,2,9
Received,8,34
Received,16,1
Received,32,9
Sent,4,7
Sent,8,9
Sent,16,3
Received,64,1
Sent,32,4
Sent,64,10
Received,128,18
Received,256,1
Received,512,0
Sent,128,10
Sent,256,13
Received,1024,53
Sent,512,18
Received,2048,126
Received,4096,1
Sent,1024,10
Sent,2048,10
Sent,4096,14
Sent,8192,20
Received,8192,89
Sent,16384,39
Sent,32768,31
Received,16384,119
Received,32768,278
Sent,65536,693
Received,65536,719
Sent,131072,721
Received,131072,1284
Sent,262144,2370
Received,262144,2409
Sent,524288,3901
Received,524288,4614
Sent,1048576,8604
Received,1048576,9082
Sent,2097152,17816
Received,2097152,17996
