Received,1,20211
Received,2,18
Received,4,2
Sent,1,19890
Sent,2,10
Sent,4,6
Sent,8,4
Sent,16,2
Sent,32,2
Sent,64,4
Sent,128,3
Sent,256,12
Sent,512,5
Received,8,108
Received,16,1
Received,32,1
Received,64,1
Received,128,1
Received,256,0
Received,512,27
Received,1024,1
Received,2048,1
Sent,1024,8
Sent,2048,15
Sent,4096,6
Received,4096,88
Received,8192,2
Sent,8192,14
Sent,16384,30
Sent,32768,32
Received,16384,237
Received,32768,193
Sent,65536,748
Received,65536,733
Sent,131072,772
Received,131072,1283
Sent,262144,1345
Received,262144,2381
Sent,524288,3049
Received,524288,4627
Sent,1048576,7455
Received,1048576,9093
Sent,2097152,13703
Received,2097152,18011
