Received,1,20218
Received,2,21
Received,4,2
Sent,1,19979
Sent,2,9
Received,8,61
Received,16,1
Received,32,0
Sent,4,7
Sent,8,9
Sent,16,3
Received,64,1
Received,128,14
Received,256,1
Sent,32,4
Sent,64,23
Sent,128,12
Sent,256,12
Sent,512,9
Received,512,85
Received,1024,1
Received,2048,1
Sent,1024,26
Sent,2048,10
Sent,4096,9
Received,4096,128
Received,8192,2
Sent,8192,22
Sent,16384,26
Received,16384,195
Sent,32768,25
Received,32768,205
Sent,65536,623
Received,65536,745
Sent,131072,754
Received,131072,1277
Sent,262144,1341
Received,262144,2386
Sent,524288,3299
Received,524288,4617
Sent,1048576,7211
Received,1048576,9077
Sent,2097152,13256
Received,2097152,17981
