Received,1,20208
Received,2,34
Received,4,2
Sent,1,19928
Sent,2,10
Received,8,35
Received,16,1
Received,32,9
Received,64,1
Sent,4,6
Sent,8,10
Sent,16,3
Sent,32,4
Sent,64,10
Received,128,22
Received,256,1
Received,512,9
Sent,128,10
Sent,256,13
Received,1024,13
Sent,512,29
Sent,1024,9
Received,2048,70
Sent,2048,35
Sent,4096,12
Sent,8192,16
Sent,16384,26
Received,4096,165
Received,8192,2
Sent,32768,56
Received,16384,161
Received,32768,180
Sent,65536,607
Received,65536,736
Sent,131072,741
Received,131072,1283
Sent,262144,1342
Received,262144,2389
Sent,524288,4326
Received,524288,4621
Sent,1048576,6898
Received,1048576,9080
Sent,2097152,14020
Received,2097152,18002
